lociID,chromosomeID,start,end
LOC:chrI-1-300,chrI,1,300
LOC:chrI-301-600,chrI,301,600
LOC:chrI-601-900,chrI,601,900
LOC:chrI-901-1200,chrI,901,1200
LOC:chrI-1201-1500,chrI,1201,1500
LOC:chrI-1501-1800,chrI,1501,1800
LOC:chrI-1801-2100,chrI,1801,2100
LOC:chrI-2101-2400,chrI,2101,2400
LOC:chrI-2401-2700,chrI,2401,2700
LOC:chrI-2701-3000,chrI,2701,3000
LOC:chrI-3001-3300,chrI,3001,3300
LOC:chrI-3301-3600,chrI,3301,3600
LOC:chrI-3601-3900,chrI,3601,3900
LOC:chrI-3901-4200,chrI,3901,4200
LOC:chrI-4201-4500,chrI,4201,4500
LOC:chrI-4501-4800,chrI,4501,4800
LOC:chrI-4801-5100,chrI,4801,5100
LOC:chrI-5101-5400,chrI,5101,5400
LOC:chrI-5401-5700,chrI,5401,5700
LOC:chrI-5701-6000,chrI,5701,6000
LOC:chrI-6001-6300,chrI,6001,6300
LOC:chrI-6301-6600,chrI,6301,6600
LOC:chrI-6601-6900,chrI,6601,6900
LOC:chrI-6901-7200,chrI,6901,7200
LOC:chrI-7201-7500,chrI,7201,7500
LOC:chrI-7501-7800,chrI,7501,7800
LOC:chrI-7801-8100,chrI,7801,8100
LOC:chrI-8101-8400,chrI,8101,8400
LOC:chrI-8401-8700,chrI,8401,8700
LOC:chrI-8701-9000,chrI,8701,9000
LOC:chrI-9001-9300,chrI,9001,9300
LOC:chrI-9301-9600,chrI,9301,9600
LOC:chrI-9601-9900,chrI,9601,9900
LOC:chrI-9901-10200,chrI,9901,10200
LOC:chrI-10201-10500,chrI,10201,10500
LOC:chrI-10501-10800,chrI,10501,10800
LOC:chrI-10801-11100,chrI,10801,11100
LOC:chrI-11101-11400,chrI,11101,11400
LOC:chrI-11401-11700,chrI,11401,11700
LOC:chrI-11701-12000,chrI,11701,12000
LOC:chrI-12001-12300,chrI,12001,12300
LOC:chrI-12301-12600,chrI,12301,12600
LOC:chrI-12601-12900,chrI,12601,12900
LOC:chrI-12901-13200,chrI,12901,13200
LOC:chrI-13201-13500,chrI,13201,13500
LOC:chrI-13501-13800,chrI,13501,13800
LOC:chrI-13801-14100,chrI,13801,14100
LOC:chrI-14101-14400,chrI,14101,14400
LOC:chrI-14401-14700,chrI,14401,14700
LOC:chrI-14701-15000,chrI,14701,15000
LOC:chrI-15001-15300,chrI,15001,15300
LOC:chrI-15301-15600,chrI,15301,15600
LOC:chrI-15601-15900,chrI,15601,15900
LOC:chrI-15901-16200,chrI,15901,16200
LOC:chrI-16201-16500,chrI,16201,16500
LOC:chrI-16501-16800,chrI,16501,16800
LOC:chrI-16801-17100,chrI,16801,17100
LOC:chrI-17101-17400,chrI,17101,17400
LOC:chrI-17401-17700,chrI,17401,17700
LOC:chrI-17701-18000,chrI,17701,18000
LOC:chrI-18001-18300,chrI,18001,18300
LOC:chrI-18301-18600,chrI,18301,18600
LOC:chrI-18601-18900,chrI,18601,18900
LOC:chrI-18901-19200,chrI,18901,19200
LOC:chrI-19201-19500,chrI,19201,19500
LOC:chrI-19501-19800,chrI,19501,19800
LOC:chrI-19801-20100,chrI,19801,20100
LOC:chrI-20101-20400,chrI,20101,20400
LOC:chrI-20401-20700,chrI,20401,20700
LOC:chrI-20701-21000,chrI,20701,21000
LOC:chrI-21001-21300,chrI,21001,21300
LOC:chrI-21301-21600,chrI,21301,21600
LOC:chrI-21601-21900,chrI,21601,21900
LOC:chrI-21901-22200,chrI,21901,22200
LOC:chrI-22201-22500,chrI,22201,22500
LOC:chrI-22501-22800,chrI,22501,22800
LOC:chrI-22801-23100,chrI,22801,23100
LOC:chrI-23101-23400,chrI,23101,23400
LOC:chrI-23401-23700,chrI,23401,23700
LOC:chrI-23701-24000,chrI,23701,24000
LOC:chrI-24001-24300,chrI,24001,24300
LOC:chrI-24301-24600,chrI,24301,24600
LOC:chrI-24601-24900,chrI,24601,24900
LOC:chrI-24901-25200,chrI,24901,25200
LOC:chrI-25201-25500,chrI,25201,25500
LOC:chrI-25501-25800,chrI,25501,25800
LOC:chrI-25801-26100,chrI,25801,26100
LOC:chrI-26101-26400,chrI,26101,26400
LOC:chrI-26401-26700,chrI,26401,26700
LOC:chrI-26701-27000,chrI,26701,27000
LOC:chrI-27001-27300,chrI,27001,27300
LOC:chrI-27301-27600,chrI,27301,27600
LOC:chrI-27601-27900,chrI,27601,27900
LOC:chrI-27901-28200,chrI,27901,28200
LOC:chrI-28201-28500,chrI,28201,28500
LOC:chrI-28501-28800,chrI,28501,28800
LOC:chrI-28801-29100,chrI,28801,29100
LOC:chrI-29101-29400,chrI,29101,29400
LOC:chrI-29401-29700,chrI,29401,29700
